"","ohi_rgn","species","rgn_typ","rgn_nam","probability"
"193",31,"Galeocerdo cuvier","eez","Seychelles",0.5
"194",32,"Galeocerdo cuvier","eez","R_union",0.5
"195",33,"Galeocerdo cuvier","eez","Juan de Nova Island",0.5
"196",34,"Galeocerdo cuvier","eez","Bassas da India",0.5
"197",35,"Galeocerdo cuvier","eez","Ile Europa",0.5
"198",36,"Galeocerdo cuvier","eez","Ile Tromelin",0.5
"199",37,"Galeocerdo cuvier","eez","Mauritius",0.5
"200",38,"Galeocerdo cuvier","eez","British Indian Ocean Territory",0.5
"201",39,"Galeocerdo cuvier","eez","Maldives",0.5
"202",40,"Galeocerdo cuvier","eez","Sri Lanka",0.5
"203",41,"Galeocerdo cuvier","eez","Mozambique",0.5
"204",42,"Galeocerdo cuvier","eez","Madagascar",0.5
"205",43,"Galeocerdo cuvier","eez","Kenya",0.5
"206",44,"Galeocerdo cuvier","eez","Somalia",0.5
"207",45,"Galeocerdo cuvier","eez","Eritrea",0.5
"208",46,"Galeocerdo cuvier","eez","Djibouti",0.5
"209",47,"Galeocerdo cuvier","eez","Yemen",0.5
"210",48,"Galeocerdo cuvier","eez","Oman",0.5
"211",49,"Galeocerdo cuvier","eez","Sudan",0.5
"212",50,"Galeocerdo cuvier","eez","Saudi Arabia",0.5
"213",51,"Galeocerdo cuvier","eez","Kuwait",0.5
"214",52,"Galeocerdo cuvier","eez","Bahrain",0.5
"215",53,"Galeocerdo cuvier","eez","Pakistan",0.5
"216",54,"Galeocerdo cuvier","eez","United Arab Emirates",0.5
"217",55,"Galeocerdo cuvier","eez","Azores",0.5
"218",56,"Galeocerdo cuvier","eez","Cape Verde",0.5
"219",57,"Galeocerdo cuvier","eez","Madeira",0.5
"220",58,"Galeocerdo cuvier","eez","Canary Islands",0.5
"221",59,"Galeocerdo cuvier","eez","Belgium",0.5
"222",62,"Galeocerdo cuvier","eez","Morocco",0.5
"223",63,"Galeocerdo cuvier","eez","Western Sahara",0.5
"224",64,"Galeocerdo cuvier","eez","Mauritania",0.5
"225",65,"Galeocerdo cuvier","eez","Gambia",0.5
"226",66,"Galeocerdo cuvier","eez","Senegal",0.5
"227",73,"Galeocerdo cuvier","eez","Russia",0.5
"228",85,"Galeocerdo cuvier","eez","Ascension",0.5
"229",86,"Galeocerdo cuvier","eez","Saint Helena",0.5
"230",88,"Galeocerdo cuvier","eez","Tristan da Cunha",0.5
"231",92,"Galeocerdo cuvier","eez","Amsterdam Island and Saint Paul Island",0.5
"232",96,"Galeocerdo cuvier","eez","Sierra Leone",0.5
"233",97,"Galeocerdo cuvier","eez","Liberia",0.5
"234",98,"Galeocerdo cuvier","eez","Togo",0.5
"235",99,"Galeocerdo cuvier","eez","Benin",0.5
"236",100,"Galeocerdo cuvier","eez","R_publique du Congo",0.5
"237",101,"Galeocerdo cuvier","eez","Namibia",0.5
"238",102,"Galeocerdo cuvier","eez","South Africa",0.5
"239",103,"Galeocerdo cuvier","eez","Sao Tome and Principe",0.5
"240",104,"Galeocerdo cuvier","eez","Equatorial Guinea",0.5
"241",106,"Galeocerdo cuvier","eez","Ghana",0.5
"242",107,"Galeocerdo cuvier","eez","Clipperton Island",0.5
"243",108,"Galeocerdo cuvier","eez","Bermuda",0.5
"244",110,"Galeocerdo cuvier","eez","Bahamas",0.5
"245",111,"Galeocerdo cuvier","eez","Turks and Caicos Islands",0.5
"246",112,"Galeocerdo cuvier","eez","Cuba",0.5
"247",113,"Galeocerdo cuvier","eez","Cayman Islands",0.5
"248",114,"Galeocerdo cuvier","eez","Haiti",0.5
"249",115,"Galeocerdo cuvier","eez","Dominican Republic",0.5
"250",116,"Galeocerdo cuvier","eez","Puerto Rico and Virgin Islands of the United States",0.5
"251",117,"Galeocerdo cuvier","eez","British Virgin Islands",0.5
"252",118,"Galeocerdo cuvier","eez","Anguilla",0.5
"253",119,"Galeocerdo cuvier","eez","Saint Kitts and Nevis",0.5
"254",120,"Galeocerdo cuvier","eez","Antigua and Barbuda",0.5
"255",121,"Galeocerdo cuvier","eez","Montserrat",0.5
"256",122,"Galeocerdo cuvier","eez","Saint Lucia",0.5
"257",123,"Galeocerdo cuvier","eez","Dominica",0.5
"258",124,"Galeocerdo cuvier","eez","Barbados",0.5
"259",125,"Galeocerdo cuvier","eez","Grenada",0.5
"260",126,"Galeocerdo cuvier","eez","Trinidad and Tobago",0.5
"261",127,"Galeocerdo cuvier","eez","Saint Vincent and the Grenadines",0.5
"262",129,"Galeocerdo cuvier","eez","Panama",0.5
"263",130,"Galeocerdo cuvier","eez","Costa Rica",0.5
"264",131,"Galeocerdo cuvier","eez","Nicaragua",0.5
"265",132,"Galeocerdo cuvier","eez","Colombia",0.5
"266",133,"Galeocerdo cuvier","eez","Honduras",0.5
"267",134,"Galeocerdo cuvier","eez","El Salvador",0.5
"268",135,"Galeocerdo cuvier","eez","Mexico",0.5
"269",136,"Galeocerdo cuvier","eez","Guatemala",0.5
"270",137,"Galeocerdo cuvier","eez","Ecuador",0.5
"271",138,"Galeocerdo cuvier","eez","Peru",0.5
"272",139,"Galeocerdo cuvier","eez","Venezuela",0.5
"273",140,"Galeocerdo cuvier","eez","Guadeloupe and Martinique",0.5
"274",141,"Galeocerdo cuvier","eez","Faeroe Islands",0.5
"275",143,"Galeocerdo cuvier","eez","Iceland",0.5
"276",146,"Galeocerdo cuvier","eez","Pitcairn",0.5
"277",147,"Galeocerdo cuvier","eez","French Polynesia",0.5
"278",148,"Galeocerdo cuvier","eez","Line Group",0.5
"279",149,"Galeocerdo cuvier","eez","Jarvis Island",0.5
"280",150,"Galeocerdo cuvier","eez","Palmyra Atoll",0.5
"281",151,"Galeocerdo cuvier","eez","American Samoa",0.5
"282",152,"Galeocerdo cuvier","eez","Samoa",0.5
"283",153,"Galeocerdo cuvier","eez","Cook Islands",0.5
"284",154,"Galeocerdo cuvier","eez","Niue",0.5
"285",155,"Galeocerdo cuvier","eez","Tonga",0.5
"286",156,"Galeocerdo cuvier","eez","Tokelau",0.5
"287",157,"Galeocerdo cuvier","eez","Phoenix Group",0.5
"288",158,"Galeocerdo cuvier","eez","Howland Island and Baker Island",0.5
"289",159,"Galeocerdo cuvier","eez","Johnston Atoll",0.5
"290",161,"Galeocerdo cuvier","eez","Wallis and Futuna",0.5
"291",162,"Galeocerdo cuvier","eez","New Zealand",0.5
"292",163,"Galeocerdo cuvier","eez","United States",0.5
"293",164,"Galeocerdo cuvier","eez","Belize",0.5
"294",166,"Galeocerdo cuvier","eez","Jamaica",0.5
"295",167,"Galeocerdo cuvier","eez","Guyana",0.5
"296",168,"Galeocerdo cuvier","eez","Suriname",0.5
"297",169,"Galeocerdo cuvier","eez","French Guiana",0.5
"298",171,"Galeocerdo cuvier","eez","Brazil",0.5
"299",172,"Galeocerdo cuvier","eez","Argentina",0.5
"300",173,"Galeocerdo cuvier","eez","Uruguay",0.5
"301",175,"Galeocerdo cuvier","eez","Denmark",0.5
"302",176,"Galeocerdo cuvier","eez","Germany",0.5
"303",177,"Galeocerdo cuvier","eez","Netherlands",0.5
"304",179,"Galeocerdo cuvier","eez","France",0.5
"305",180,"Galeocerdo cuvier","eez","United Kingdom",0.5
"306",181,"Galeocerdo cuvier","eez","Ireland",0.5
"307",182,"Galeocerdo cuvier","eez","Spain",0.5
"308",183,"Galeocerdo cuvier","eez","Portugal",0.5
"309",190,"Galeocerdo cuvier","eez","Qatar",0.5
"310",191,"Galeocerdo cuvier","eez","Iran",0.5
"311",193,"Galeocerdo cuvier","eez","Guinea Bissau",0.5
"312",194,"Galeocerdo cuvier","eez","Guinea",0.5
"313",195,"Galeocerdo cuvier","eez","Ivory Coast",0.5
"314",196,"Galeocerdo cuvier","eez","Nigeria",0.5
"315",197,"Galeocerdo cuvier","eez","Cameroon",0.5
"316",198,"Galeocerdo cuvier","eez","Gabon",0.5
"317",199,"Galeocerdo cuvier","eez","Democratic Republic of the Congo",0.5
"318",200,"Galeocerdo cuvier","eez","Angola",0.5
"319",202,"Galeocerdo cuvier","eez","Tanzania",0.5
"320",203,"Galeocerdo cuvier","eez","India",0.5
"321",204,"Galeocerdo cuvier","eez","Bangladesh",0.5
"322",205,"Galeocerdo cuvier","eez","Myanmar",0.5
"323",206,"Galeocerdo cuvier","eez","Malaysia",0.5
"324",207,"Galeocerdo cuvier","eez","Vietnam",0.5
"325",208,"Galeocerdo cuvier","eez","Singapore",0.5
"326",209,"Galeocerdo cuvier","eez","China",0.5
"327",210,"Galeocerdo cuvier","eez","Japan",0.5
"328",212,"Galeocerdo cuvier","eez","Kiribati",0.5
"329",214,"Galeocerdo cuvier","eez","Egypt",0.5
"330",216,"Galeocerdo cuvier","eez","Indonesia",0.5
"331",218,"Galeocerdo cuvier","eez","Canada",0.5
"332",221,"Galeocerdo cuvier","eez","Northern Saint-Martin",0.5
"333",222,"Galeocerdo cuvier","eez","Sweden",0.5
"334",223,"Galeocerdo cuvier","eez","Norway",0.5
"335",224,"Galeocerdo cuvier","eez","Chile",0.5
"336",228,"Galeocerdo cuvier","eez","Guernsey",0.5
"337",231,"Galeocerdo cuvier","eez","East Timor",0.5
"338",237,"Galeocerdo cuvier","eez","Oecussi Ambeno",0.5
"339",244,"Galeocerdo cuvier","eez","Curaçao",0.5
"340",245,"Galeocerdo cuvier","eez","Bonaire",0.5
"341",247,"Galeocerdo cuvier","eez","Brunei",0.5
"342",248,"Galeocerdo cuvier","eez","Saba",0.5
"343",250,"Galeocerdo cuvier","eez","Aruba",0.5
"344",261,"Galeocerdo cuvier","fao","Atlantic, Northwest",0.5
"345",262,"Galeocerdo cuvier","fao","Atlantic, Northeast",0.5
"346",264,"Galeocerdo cuvier","fao","Atlantic, Eastern Central",0.5
"347",266,"Galeocerdo cuvier","fao","Atlantic, Southwest",0.5
"348",267,"Galeocerdo cuvier","fao","Atlantic, Southeast",0.5
"349",269,"Galeocerdo cuvier","fao","Indian Ocean, Western",0.5
"350",272,"Galeocerdo cuvier","fao","Pacific, Northwest",0.5
"351",273,"Galeocerdo cuvier","fao","Pacific, Northeast",0.5
"352",274,"Galeocerdo cuvier","fao","Pacific, Western Central",0.5
"353",276,"Galeocerdo cuvier","fao","Pacific, Southwest",0.5
"354",277,"Galeocerdo cuvier","fao","Pacific, Southeast",0.5
"355",1,"Galeocerdo cuvier","eez","Cocos Islands",0
"356",2,"Galeocerdo cuvier","eez","Christmas Island",0
"357",3,"Galeocerdo cuvier","eez","Norfolk Island",0
"358",5,"Galeocerdo cuvier","eez","New Caledonia",0
"359",6,"Galeocerdo cuvier","eez","Vanuatu",0
"360",7,"Galeocerdo cuvier","eez","Solomon Islands",0
"361",8,"Galeocerdo cuvier","eez","Palau",0
"362",9,"Galeocerdo cuvier","eez","Micronesia",0
"363",10,"Galeocerdo cuvier","eez","Nauru",0
"364",11,"Galeocerdo cuvier","eez","Marshall Islands",0
"365",12,"Galeocerdo cuvier","eez","Wake Island",0
"366",13,"Galeocerdo cuvier","eez","Northern Mariana Islands and Guam",0
"367",14,"Galeocerdo cuvier","eez","Taiwan",0
"368",15,"Galeocerdo cuvier","eez","Philippines",0
"369",16,"Galeocerdo cuvier","eez","Australia",0
"370",17,"Galeocerdo cuvier","eez","Papua New Guinea",0
