"","ohi_rgn","species","rgn_typ","rgn_nam","probability"
"169",19,"Galeocerdo cuvier","eez","Tuvalu",0.5
"170",20,"Galeocerdo cuvier","eez","South Korea",0.5
"171",24,"Galeocerdo cuvier","eez","Cambodia",0.5
"172",25,"Galeocerdo cuvier","eez","Thailand",0.5
"173",26,"Galeocerdo cuvier","eez","Andaman and Nicobar",0.5
"174",28,"Galeocerdo cuvier","eez","Comoro Islands",0.5
"175",29,"Galeocerdo cuvier","eez","Mayotte",0.5
"176",30,"Galeocerdo cuvier","eez","Glorioso Islands",0.5
"177",31,"Galeocerdo cuvier","eez","Seychelles",0.5
"178",32,"Galeocerdo cuvier","eez","R_union",0.5
"179",33,"Galeocerdo cuvier","eez","Juan de Nova Island",0.5
"180",34,"Galeocerdo cuvier","eez","Bassas da India",0.5
"181",35,"Galeocerdo cuvier","eez","Ile Europa",0.5
"182",36,"Galeocerdo cuvier","eez","Ile Tromelin",0.5
"183",37,"Galeocerdo cuvier","eez","Mauritius",0.5
"184",38,"Galeocerdo cuvier","eez","British Indian Ocean Territory",0.5
"185",39,"Galeocerdo cuvier","eez","Maldives",0.5
"186",40,"Galeocerdo cuvier","eez","Sri Lanka",0.5
"187",41,"Galeocerdo cuvier","eez","Mozambique",0.5
"188",42,"Galeocerdo cuvier","eez","Madagascar",0.5
"189",43,"Galeocerdo cuvier","eez","Kenya",0.5
"190",44,"Galeocerdo cuvier","eez","Somalia",0.5
"191",46,"Galeocerdo cuvier","eez","Djibouti",0.5
"192",47,"Galeocerdo cuvier","eez","Yemen",0.5
"193",48,"Galeocerdo cuvier","eez","Oman",0.5
"194",53,"Galeocerdo cuvier","eez","Pakistan",0.5
"195",54,"Galeocerdo cuvier","eez","United Arab Emirates",0.5
"196",55,"Galeocerdo cuvier","eez","Azores",0.5
"197",56,"Galeocerdo cuvier","eez","Cape Verde",0.5
"198",57,"Galeocerdo cuvier","eez","Madeira",0.5
"199",58,"Galeocerdo cuvier","eez","Canary Islands",0.5
"200",62,"Galeocerdo cuvier","eez","Morocco",0.5
"201",63,"Galeocerdo cuvier","eez","Western Sahara",0.5
"202",65,"Galeocerdo cuvier","eez","Gambia",0.5
"203",66,"Galeocerdo cuvier","eez","Senegal",0.5
"204",85,"Galeocerdo cuvier","eez","Ascension",0.5
"205",86,"Galeocerdo cuvier","eez","Saint Helena",0.5
"206",88,"Galeocerdo cuvier","eez","Tristan da Cunha",0.5
"207",92,"Galeocerdo cuvier","eez","Amsterdam Island and Saint Paul Island",0.5
"208",96,"Galeocerdo cuvier","eez","Sierra Leone",0.5
"209",97,"Galeocerdo cuvier","eez","Liberia",0.5
"210",98,"Galeocerdo cuvier","eez","Togo",0.5
"211",99,"Galeocerdo cuvier","eez","Benin",0.5
"212",101,"Galeocerdo cuvier","eez","Namibia",0.5
"213",102,"Galeocerdo cuvier","eez","South Africa",0.5
"214",103,"Galeocerdo cuvier","eez","Sao Tome and Principe",0.5
"215",104,"Galeocerdo cuvier","eez","Equatorial Guinea",0.5
"216",106,"Galeocerdo cuvier","eez","Ghana",0.5
"217",107,"Galeocerdo cuvier","eez","Clipperton Island",0.5
"218",108,"Galeocerdo cuvier","eez","Bermuda",0.5
"219",110,"Galeocerdo cuvier","eez","Bahamas",0.5
"220",111,"Galeocerdo cuvier","eez","Turks and Caicos Islands",0.5
"221",112,"Galeocerdo cuvier","eez","Cuba",0.5
"222",113,"Galeocerdo cuvier","eez","Cayman Islands",0.5
"223",114,"Galeocerdo cuvier","eez","Haiti",0.5
"224",115,"Galeocerdo cuvier","eez","Dominican Republic",0.5
"225",116,"Galeocerdo cuvier","eez","Puerto Rico and Virgin Islands of the United States",0.5
"226",117,"Galeocerdo cuvier","eez","British Virgin Islands",0.5
"227",118,"Galeocerdo cuvier","eez","Anguilla",0.5
"228",119,"Galeocerdo cuvier","eez","Saint Kitts and Nevis",0.5
"229",120,"Galeocerdo cuvier","eez","Antigua and Barbuda",0.5
"230",121,"Galeocerdo cuvier","eez","Montserrat",0.5
"231",122,"Galeocerdo cuvier","eez","Saint Lucia",0.5
"232",123,"Galeocerdo cuvier","eez","Dominica",0.5
"233",124,"Galeocerdo cuvier","eez","Barbados",0.5
"234",125,"Galeocerdo cuvier","eez","Grenada",0.5
"235",126,"Galeocerdo cuvier","eez","Trinidad and Tobago",0.5
"236",127,"Galeocerdo cuvier","eez","Saint Vincent and the Grenadines",0.5
"237",129,"Galeocerdo cuvier","eez","Panama",0.5
"238",130,"Galeocerdo cuvier","eez","Costa Rica",0.5
"239",131,"Galeocerdo cuvier","eez","Nicaragua",0.5
"240",132,"Galeocerdo cuvier","eez","Colombia",0.5
"241",133,"Galeocerdo cuvier","eez","Honduras",0.5
"242",134,"Galeocerdo cuvier","eez","El Salvador",0.5
"243",135,"Galeocerdo cuvier","eez","Mexico",0.5
"244",136,"Galeocerdo cuvier","eez","Guatemala",0.5
"245",137,"Galeocerdo cuvier","eez","Ecuador",0.5
"246",138,"Galeocerdo cuvier","eez","Peru",0.5
"247",139,"Galeocerdo cuvier","eez","Venezuela",0.5
"248",140,"Galeocerdo cuvier","eez","Guadeloupe and Martinique",0.5
"249",147,"Galeocerdo cuvier","eez","French Polynesia",0.5
"250",148,"Galeocerdo cuvier","eez","Line Group",0.5
"251",149,"Galeocerdo cuvier","eez","Jarvis Island",0.5
"252",150,"Galeocerdo cuvier","eez","Palmyra Atoll",0.5
"253",151,"Galeocerdo cuvier","eez","American Samoa",0.5
"254",152,"Galeocerdo cuvier","eez","Samoa",0.5
"255",153,"Galeocerdo cuvier","eez","Cook Islands",0.5
"256",155,"Galeocerdo cuvier","eez","Tonga",0.5
"257",156,"Galeocerdo cuvier","eez","Tokelau",0.5
"258",157,"Galeocerdo cuvier","eez","Phoenix Group",0.5
"259",158,"Galeocerdo cuvier","eez","Howland Island and Baker Island",0.5
"260",159,"Galeocerdo cuvier","eez","Johnston Atoll",0.5
