"","ohi_rgn","species","rgn_typ","rgn_nam","probability","FAOarea"
"131",37,"Saurida tumbil","eez","Mauritius",0,NA
"132",38,"Saurida tumbil","eez","British Indian Ocean Territory",0,NA
"133",39,"Saurida tumbil","eez","Maldives",0,NA
"134",40,"Saurida tumbil","eez","Sri Lanka",0,NA
"135",41,"Saurida tumbil","eez","Mozambique",0,NA
"136",42,"Saurida tumbil","eez","Madagascar",0,NA
"137",43,"Saurida tumbil","eez","Kenya",0,NA
"138",44,"Saurida tumbil","eez","Somalia",0,NA
"139",45,"Saurida tumbil","eez","Eritrea",0,NA
"140",46,"Saurida tumbil","eez","Djibouti",0,NA
"141",47,"Saurida tumbil","eez","Yemen",0,NA
"142",48,"Saurida tumbil","eez","Oman",0,NA
"143",49,"Saurida tumbil","eez","Sudan",0,NA
"144",50,"Saurida tumbil","eez","Saudi Arabia",0,NA
"145",51,"Saurida tumbil","eez","Kuwait",0,NA
"146",52,"Saurida tumbil","eez","Bahrain",0,NA
"147",53,"Saurida tumbil","eez","Pakistan",0,NA
"148",54,"Saurida tumbil","eez","United Arab Emirates",0,NA
"149",102,"Saurida tumbil","eez","South Africa",0,NA
"150",190,"Saurida tumbil","eez","Qatar",0,NA
"151",191,"Saurida tumbil","eez","Iran",0,NA
"152",202,"Saurida tumbil","eez","Tanzania",0,NA
"153",203,"Saurida tumbil","eez","India",0,NA
"154",204,"Saurida tumbil","eez","Bangladesh",0,NA
"155",205,"Saurida tumbil","eez","Myanmar",0,NA
"156",206,"Saurida tumbil","eez","Malaysia",0,NA
"157",207,"Saurida tumbil","eez","Vietnam",0,NA
"158",208,"Saurida tumbil","eez","Singapore",0,NA
"159",209,"Saurida tumbil","eez","China",0,NA
"160",210,"Saurida tumbil","eez","Japan",0,NA
"161",214,"Saurida tumbil","eez","Egypt",0,NA
"162",216,"Saurida tumbil","eez","Indonesia",0,NA
"163",231,"Saurida tumbil","eez","East Timor",0,NA
"164",237,"Saurida tumbil","eez","Oecussi Ambeno",0,NA
"165",247,"Saurida tumbil","eez","Brunei",0,NA
"166",269,"Saurida tumbil","fao","Indian Ocean, Western",0,51
"167",1,"Galeocerdo cuvier","eez","Cocos Islands",0.5,NA
"168",2,"Galeocerdo cuvier","eez","Christmas Island",0.5,NA
"169",3,"Galeocerdo cuvier","eez","Norfolk Island",0.5,NA
"170",5,"Galeocerdo cuvier","eez","New Caledonia",0.5,NA
"171",6,"Galeocerdo cuvier","eez","Vanuatu",0.5,NA
"172",7,"Galeocerdo cuvier","eez","Solomon Islands",0.5,NA
"173",8,"Galeocerdo cuvier","eez","Palau",0.5,NA
"174",9,"Galeocerdo cuvier","eez","Micronesia",0.5,NA
"175",10,"Galeocerdo cuvier","eez","Nauru",0.5,NA
"176",11,"Galeocerdo cuvier","eez","Marshall Islands",0.5,NA
"177",12,"Galeocerdo cuvier","eez","Wake Island",0.5,NA
"178",13,"Galeocerdo cuvier","eez","Northern Mariana Islands and Guam",0.5,NA
"179",14,"Galeocerdo cuvier","eez","Taiwan",0.5,NA
"180",15,"Galeocerdo cuvier","eez","Philippines",0.5,NA
"181",16,"Galeocerdo cuvier","eez","Australia",0.5,NA
"182",17,"Galeocerdo cuvier","eez","Papua New Guinea",0.5,NA
"183",18,"Galeocerdo cuvier","eez","Fiji",0.5,NA
"184",19,"Galeocerdo cuvier","eez","Tuvalu",0.5,NA
"185",20,"Galeocerdo cuvier","eez","South Korea",0.5,NA
"186",21,"Galeocerdo cuvier","eez","North Korea",0.5,NA
"187",24,"Galeocerdo cuvier","eez","Cambodia",0.5,NA
"188",25,"Galeocerdo cuvier","eez","Thailand",0.5,NA
"189",26,"Galeocerdo cuvier","eez","Andaman and Nicobar",0.5,NA
"190",28,"Galeocerdo cuvier","eez","Comoro Islands",0.5,NA
"191",29,"Galeocerdo cuvier","eez","Mayotte",0.5,NA
"192",30,"Galeocerdo cuvier","eez","Glorioso Islands",0.5,NA
"193",31,"Galeocerdo cuvier","eez","Seychelles",0.5,NA
"194",32,"Galeocerdo cuvier","eez","R_union",0.5,NA
